best_iteration	best_error	seed
9379	4.60594316815643e-05	9
8654	5.56682855123946e-05	2
6169	6.02600587034246e-05	10
6498	6.31151523513609e-05	1
9999	9.52127061676582e-05	7
8495	9.7918158564439e-05	3
7351	0.000196554019896269	5
9999	0.000244331432045549	4
9999	0.000259482342294843	6
7211	0.000282860803656178	8
9999	0.000284188038901958	0
